'time_shown=1700808743.306817', 'L RGB=(10, 45, 31)', 'R RGB=(1, 42, 28)', 'L lightness=27.5', 'R lightness=21.5', 'selected_rect=L', 'time_solved=1700808744.9031372', 'spent=1.5963201522827148', 'result=Win', 'delta lightness abs=6.0'
'time_shown=1700808744.934571', 'L RGB=(203, 83, 104)', 'R RGB=(202, 76, 97)', 'L lightness=143.0', 'R lightness=139.0', 'selected_rect=L', 'time_solved=1700808746.0726953', 'spent=1.1381242275238037', 'result=Win', 'delta lightness abs=4.0'
'time_shown=1700808746.1015441', 'L RGB=(192, 68, 179)', 'R RGB=(188, 35, 179)', 'L lightness=130.0', 'R lightness=111.5', 'selected_rect=L', 'time_solved=1700808746.9896333', 'spent=0.8880891799926758', 'result=Win', 'delta lightness abs=18.5'
'time_shown=1700808747.0168877', 'L RGB=(72, 57, 212)', 'R RGB=(59, 40, 177)', 'L lightness=134.5', 'R lightness=108.5', 'selected_rect=L', 'time_solved=1700808748.2297008', 'spent=1.212813138961792', 'result=Win', 'delta lightness abs=26.0'
'time_shown=1700808748.256544', 'L RGB=(242, 212, 75)', 'R RGB=(214, 208, 56)', 'L lightness=158.5', 'R lightness=135.0', 'selected_rect=R', 'time_solved=1700808749.523343', 'spent=1.266798973083496', 'result=Loss', 'delta lightness abs=23.5'
'time_shown=1700808749.5530841', 'L RGB=(217, 21, 71)', 'R RGB=(214, 12, 43)', 'L lightness=119.0', 'R lightness=113.0', 'selected_rect=L', 'time_solved=1700808751.9899137', 'spent=2.4368295669555664', 'result=Win', 'delta lightness abs=6.0'
'time_shown=1700808752.0178688', 'L RGB=(233, 26, 197)', 'R RGB=(234, 57, 220)', 'L lightness=129.5', 'R lightness=145.5', 'selected_rect=R', 'time_solved=1700808753.4201536', 'spent=1.402284860610962', 'result=Win', 'delta lightness abs=16.0'
'time_shown=1700808753.47644', 'L RGB=(113, 156, 223)', 'R RGB=(110, 155, 213)', 'L lightness=168.0', 'R lightness=161.5', 'selected_rect=L', 'time_solved=1700808755.0667505', 'spent=1.5903105735778809', 'result=Win', 'delta lightness abs=6.5'
'time_shown=1700808755.0951045', 'L RGB=(243, 148, 105)', 'R RGB=(255, 162, 112)', 'L lightness=174.0', 'R lightness=183.5', 'selected_rect=R', 'time_solved=1700808755.914041', 'spent=0.8189365863800049', 'result=Win', 'delta lightness abs=9.5'
'time_shown=1700808755.9477174', 'L RGB=(114, 29, 160)', 'R RGB=(122, 30, 165)', 'L lightness=94.5', 'R lightness=97.50000000000001', 'selected_rect=R', 'time_solved=1700808756.7862751', 'spent=0.8385577201843262', 'result=Win', 'delta lightness abs=3.000000000000014'
'time_shown=1700808756.8131769', 'L RGB=(14, 84, 138)', 'R RGB=(15, 85, 139)', 'L lightness=76.0', 'R lightness=77.0', 'selected_rect=R', 'time_solved=1700808760.9741688', 'spent=4.160991907119751', 'result=Win', 'delta lightness abs=1.0'
'time_shown=1700808761.0076373', 'L RGB=(248, 125, 115)', 'R RGB=(238, 131, 131)', 'L lightness=181.5', 'R lightness=184.5', 'selected_rect=R', 'time_solved=1700808761.872455', 'spent=0.8648176193237305', 'result=Win', 'delta lightness abs=3.0'
'time_shown=1700808761.8943057', 'L RGB=(228, 35, 135)', 'R RGB=(231, 35, 138)', 'L lightness=131.5', 'R lightness=133.0', 'selected_rect=R', 'time_solved=1700808763.1330287', 'spent=1.2387230396270752', 'result=Win', 'delta lightness abs=1.5'
'time_shown=1700808763.162645', 'L RGB=(214, 173, 172)', 'R RGB=(214, 182, 207)', 'L lightness=193.0', 'R lightness=198.0', 'selected_rect=R', 'time_solved=1700808764.0488129', 'spent=0.8861677646636963', 'result=Win', 'delta lightness abs=5.0'
'time_shown=1700808764.0774264', 'L RGB=(183, 184, 213)', 'R RGB=(176, 168, 236)', 'L lightness=198.0', 'R lightness=202.00000000000003', 'selected_rect=L', 'time_solved=1700808764.7487583', 'spent=0.6713318824768066', 'result=Loss', 'delta lightness abs=4.000000000000028'
